model,subset,horizon,mae_px_mean,mae_px_std,r2_mean,r2_std,n_seeds,n_traj
baseline_constant,all,6,2.934562826156616,0.052626937430351586,0.5658399343490601,0.01577260269375319,5,500
baseline_constant,all,7,3.302414131164551,0.05878567348416059,0.45472108125686644,0.021533506812367178,5,500
baseline_constant,all,8,3.625334644317627,0.0655016747112184,0.33754909038543696,0.02682908595679476,5,500
baseline_constant,all,9,3.9049776554107667,0.06585535983067749,0.21114659309387201,0.032864420940492585,5,500
baseline_constant,all,10,4.138034915924072,0.0758066227633455,0.07398866415023798,0.03947527358154187,5,500
baseline_constant,bounce,1,0.6353842973709106,0.012982387944462848,0.9825572609901428,0.0011641559522406189,5,292
baseline_constant,bounce,2,1.210799503326416,0.030778976839182116,0.9439265489578247,0.0037051941711478634,5,292
baseline_constant,bounce,3,1.7212986946105957,0.05309396318941065,0.8945213794708252,0.006610742800692223,5,292
baseline_constant,bounce,4,2.1379445075988768,0.07619903345693212,0.8385950803756714,0.00923673731026575,5,292
baseline_constant,bounce,5,2.497833824157715,0.08044636907212149,0.7750426054000854,0.010609228786644805,5,292
baseline_constant,bounce,6,2.8118968963623048,0.07932641536577541,0.7037681341171265,0.012419471988020698,5,292
baseline_constant,bounce,7,3.0649888038635256,0.07367550668975482,0.6271317720413208,0.013563184286977437,5,292
baseline_constant,bounce,8,3.2386270999908446,0.06819265142911317,0.5439182639122009,0.013405978146550314,5,292
baseline_constant,bounce,9,3.3325925350189207,0.05019477344509663,0.44508234262466423,0.012841445253951585,5,292
baseline_constant,bounce,10,3.3465100288391114,0.0450358410771404,0.3187096118927002,0.01681773474170434,5,292
baseline_constant,no_bounce,1,0.5132447838783264,0.008382669773289003,0.9485398054122924,0.002978350940633085,5,208
baseline_constant,no_bounce,2,1.0256406545639039,0.018627624467270475,0.7832027196884155,0.009804547859984853,5,208
baseline_constant,no_bounce,3,1.542026448249817,0.02747291567933013,0.5315734624862671,0.022589842810072102,5,208
baseline_constant,no_bounce,4,2.0585325241088865,0.040455854833369435,0.2745839476585388,0.04555841967991878,5,208
