seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories,rmse_raw_behaviour_data,rmse_raw_planner_trajectories
1,B_task,3,0.9434753656387329,-3.1541028022766113,0.08280927687883377,0.3640917241573334
1,B_task,4,0.9400957226753235,-3.926682472229004,0.0860615000128746,0.39432618021965027
1,B_task,5,0.9368399381637573,-4.745384216308594,0.08918727934360504,0.4233965277671814
1,B_task,6,0.9331803917884827,-5.586515426635742,0.09257865697145462,0.4504213333129883
1,B_task,7,0.929947555065155,-6.430586338043213,0.09563600271940231,0.4765160381793976
1,B_task,8,0.9272675514221191,-7.258668899536133,0.09826796501874924,0.5003824830055237
1,B_task,9,0.9245918989181519,-8.088212013244629,0.10087722539901733,0.5230860114097595
1,B_task,10,0.9221188426017761,-8.835929870605469,0.10332924127578735,0.5438061952590942
1,B_task,11,0.9196107983589172,-9.535795211791992,0.10578013211488724,0.5631101727485657
1,B_task,12,0.9170538783073425,-10.202083587646484,0.108247309923172,0.5808029770851135
1,B_task,13,0.9144704937934875,-10.761857032775879,0.11070723831653595,0.5972587466239929
1,B_task,14,0.9123764038085938,-11.24077033996582,0.11281681805849075,0.612054169178009
1,B_task,15,0.91080641746521,-11.69804859161377,0.11455830186605453,0.6258377432823181
1,C_scene,0,0.5434702634811401,-4.865318298339844,0.22839932143688202,0.45578649640083313
1,C_scene,1,0.5467169284820557,-5.530004978179932,0.22995226085186005,0.47957953810691833
1,C_scene,2,0.5484575033187866,-6.118177890777588,0.23178799450397491,0.4999232590198517
1,C_scene,3,0.5491573810577393,-6.765332221984863,0.2338690161705017,0.5220562219619751
1,C_scene,4,0.5502362251281738,-7.48783016204834,0.2358153760433197,0.5453451871871948
1,C_scene,5,0.5512968301773071,-8.241316795349121,0.23771758377552032,0.5690996050834656
1,C_scene,6,0.551145613193512,-9.001633644104004,0.23994500935077667,0.5926376581192017
1,C_scene,7,0.5511229038238525,-9.780964851379395,0.24208815395832062,0.6160979270935059
1,C_scene,8,0.5515406131744385,-10.520730972290039,0.24401099979877472,0.6386693716049194
1,C_scene,9,0.551403284072876,-11.245833396911621,0.2460436075925827,0.6608492732048035
1,C_scene,10,0.5517500638961792,-11.94851303100586,0.24789468944072723,0.682338297367096
1,C_scene,11,0.5525244474411011,-12.602749824523926,0.24956853687763214,0.7026644945144653
1,C_scene,12,0.5535908937454224,-13.22769546508789,0.25112250447273254,0.7221105694770813
1,C_scene,13,0.5554652214050293,-13.832884788513184,0.25238925218582153,0.7406594753265381
1,C_scene,14,0.5579160451889038,-14.381333351135254,0.25340530276298523,0.7578179836273193
1,C_scene,15,0.5610423684120178,-14.864935874938965,0.25413885712623596,0.7738023400306702
1,D_latent,0,0.9464049339294434,0.09972816705703735,0.07825689762830734,0.21264320611953735
1,D_latent,1,0.9466144442558289,-0.11110758781433105,0.07891594618558884,0.23776249587535858
1,D_latent,2,0.94550621509552,-0.364810585975647,0.08052211254835129,0.2650221884250641
1,D_latent,3,0.9431681632995605,-0.6597683429718018,0.08303403109312057,0.29286670684814453
1,D_latent,4,0.9403350949287415,-0.9826282262802124,0.08588936179876328,0.3202380836009979
1,D_latent,5,0.9373220205307007,-1.3468804359436035,0.08884626626968384,0.3479014039039612
1,D_latent,6,0.9337549209594727,-1.7133896350860596,0.09217981994152069,0.37290820479393005
1,D_latent,7,0.9303653836250305,-2.108135223388672,0.09535036981105804,0.39768362045288086
1,D_latent,8,0.9273990988731384,-2.504009962081909,0.09817903488874435,0.4200879633426666
1,D_latent,9,0.9243214726448059,-2.908513069152832,0.10105792433023453,0.4410361051559448
1,D_latent,10,0.9212894439697266,-3.2979650497436523,0.10387800633907318,0.459793359041214
1,D_latent,11,0.9183366298675537,-3.704580307006836,0.10661514848470688,0.4779093265533447
1,D_latent,12,0.915312647819519,-4.093828201293945,0.10937758535146713,0.4938780963420868
1,D_latent,13,0.9124699831008911,-4.476596832275391,0.11199445277452469,0.509032130241394
1,D_latent,14,0.9099931120872498,-4.855950355529785,0.11434078216552734,0.5233520269393921
1,D_latent,15,0.9079198241233826,-5.220823287963867,0.11639727652072906,0.536720871925354
2,A_recon,0,0.9613987803459167,-0.18366563320159912,0.06641420722007751,0.20808924734592438
2,A_recon,1,0.9604964256286621,-0.5415748357772827,0.06788468360900879,0.23667894303798676
2,A_recon,2,0.9590758085250854,-0.9552468061447144,0.06978005915880203,0.2655128836631775
2,A_recon,3,0.9567809104919434,-1.4379384517669678,0.07240986078977585,0.2948627173900604
2,A_recon,4,0.9539726376533508,-1.980238437652588,0.07543760538101196,0.32416993379592896
2,A_recon,5,0.9513276815414429,-2.589829683303833,0.07829292863607407,0.353789746761322
2,A_recon,6,0.9482288360595703,-3.2362213134765625,0.08148978650569916,0.38213399052619934
2,A_recon,7,0.9449887871742249,-3.8940038681030273,0.08474914729595184,0.40924271941185
2,A_recon,8,0.9422032833099365,-4.552090167999268,0.08759903162717819,0.43447932600975037
2,A_recon,9,0.9395163059234619,-5.207668304443359,0.09034477174282074,0.4580951929092407
2,A_recon,10,0.9361364841461182,-5.816160202026367,0.09356942772865295,0.4792163074016571
2,A_recon,11,0.9328613877296448,-6.401454448699951,0.0966697707772255,0.49854692816734314
2,A_recon,12,0.9297653436660767,-6.96629524230957,0.09960812330245972,0.5162986516952515
2,A_recon,13,0.9264247417449951,-7.47525691986084,0.10267965495586395,0.5322253108024597
2,A_recon,14,0.92331862449646,-7.961088180541992,0.10553770512342453,0.5468892455101013
2,A_recon,15,0.920531153678894,-8.409504890441895,0.10813309997320175,0.5603357553482056
2,B_task,0,0.17868155241012573,-4.097475051879883,0.3063488006591797,0.4489050805568695
2,B_task,1,0.17943167686462402,-4.6006927490234375,0.3093932569026947,0.4712667763233185
2,B_task,2,0.18211346864700317,-5.0261335372924805,0.3119519054889679,0.4897770285606384
2,B_task,3,0.18393152952194214,-5.379974365234375,0.31464678049087524,0.5052264928817749
2,B_task,4,0.18430167436599731,-5.664700508117676,0.3175737261772156,0.5180773138999939
2,B_task,5,0.18475723266601562,-5.901566982269287,0.32042396068573,0.5291032791137695
2,B_task,6,0.1852467656135559,-6.103285789489746,0.32327499985694885,0.5389717221260071
2,B_task,7,0.18510645627975464,-6.26777458190918,0.3261820673942566,0.5478140711784363
2,B_task,8,0.18491590023040771,-6.4124226570129395,0.3289644122123718,0.5560246706008911
2,B_task,9,0.18498080968856812,-6.523382186889648,0.33164072036743164,0.5631435513496399
2,B_task,10,0.18441808223724365,-6.613518238067627,0.3343808352947235,0.5695107579231262
2,B_task,11,0.18361443281173706,-6.677074909210205,0.3370949327945709,0.5750154256820679
2,B_task,12,0.18325793743133545,-6.726545333862305,0.33967331051826477,0.5798243284225464
2,B_task,13,0.18275666236877441,-6.765584945678711,0.34221112728118896,0.5841426849365234
2,B_task,14,0.18225932121276855,-6.793377876281738,0.34464380145072937,0.5878003835678101
2,B_task,15,0.18243491649627686,-6.814075469970703,0.3468337953090668,0.5908830165863037
2,C_scene,0,0.010920345783233643,-10.013044357299805,0.33618322014808655,0.6340022087097168
2,C_scene,1,0.009879708290100098,-10.753185272216797,0.33985796570777893,0.6537200212478638
2,C_scene,2,0.004813194274902344,-11.646215438842773,0.3441069424152374,0.6773942112922668
2,C_scene,3,-0.001497030258178711,-12.554938316345215,0.34856584668159485,0.7007724642753601
2,C_scene,4,-0.008000016212463379,-13.41556167602539,0.35302871465682983,0.7228641510009766
2,C_scene,5,-0.013156294822692871,-14.22813606262207,0.357206791639328,0.7437633872032166
2,C_scene,6,-0.01827847957611084,-14.990527153015137,0.36140352487564087,0.763344943523407
2,C_scene,7,-0.02278292179107666,-15.688636779785156,0.3654276728630066,0.7812677025794983
2,C_scene,8,-0.025511980056762695,-16.323450088500977,0.36899301409721375,0.7976574301719666
2,C_scene,9,-0.028185725212097168,-16.897764205932617,0.3724943697452545,0.8126404285430908
2,C_scene,10,-0.03018045425415039,-17.420120239257812,0.37580645084381104,0.8262625932693481
2,C_scene,11,-0.03122580051422119,-17.894351959228516,0.37886232137680054,0.8386444449424744
2,C_scene,12,-0.03225421905517578,-18.33241844177246,0.38186711072921753,0.8501989841461182
2,C_scene,13,-0.03300356864929199,-18.72705841064453,0.38474178314208984,0.8608112335205078
2,C_scene,14,-0.03311896324157715,-19.087915420532227,0.38738054037094116,0.8704776167869568
2,C_scene,15,-0.033364176750183105,-19.406272888183594,0.38993024826049805,0.8794254064559937
2,D_latent,0,0.9296708703041077,-1.2300336360931396,0.0896453857421875,0.2863192856311798
2,D_latent,1,0.9300249814987183,-1.6455554962158203,0.09034933149814606,0.31221866607666016
2,D_latent,2,0.9298270344734192,-2.059311628341675,0.09137473255395889,0.33604925870895386
2,D_latent,3,0.9284641742706299,-2.5089564323425293,0.09315834194421768,0.3600260317325592
2,D_latent,4,0.9262740612030029,-2.993295669555664,0.09547504782676697,0.3839334547519684
2,D_latent,5,0.9243401885032654,-3.5233097076416016,0.09761443734169006,0.408387154340744
2,D_latent,6,0.9215797781944275,-4.076791286468506,0.10029357671737671,0.4327552318572998
2,D_latent,7,0.9183623194694519,-4.637117862701416,0.10324165225028992,0.4566735029220581
2,D_latent,8,0.9156795740127563,-5.205925941467285,0.10580694675445557,0.4796674847602844
2,D_latent,9,0.9127153158187866,-5.755545616149902,0.10853078961372375,0.5015830993652344
2,D_latent,10,0.9093359112739563,-6.262575626373291,0.11148726940155029,0.5219889283180237
2,D_latent,11,0.9065709114074707,-6.7489519119262695,0.11403696238994598,0.5409299731254578
2,D_latent,12,0.903904914855957,-7.200125694274902,0.11651169508695602,0.55873703956604
2,D_latent,13,0.9009630084037781,-7.602048873901367,0.11912891268730164,0.5752959251403809
2,D_latent,14,0.8983671069145203,-7.991936683654785,0.12150098383426666,0.5904951095581055
2,D_latent,15,0.89621901512146,-8.349122047424316,0.1235717386007309,0.604960024356842
