seed,arm,space,probe,selectivity_goal,selectivity_vector,selector_bit
4,B_task,z,linear,0.7070447206497192,0.37092673778533936,0.9479045542635659
4,B_task,z,mlp,0.8891307711601257,0.49769002199172974,0.9709120639534884
4,C_scene,h,linear,0.7437800168991089,0.544390857219696,0.5197068798449612
4,C_scene,h,mlp,0.7346946597099304,0.7343000769615173,0.5220687984496124
4,C_scene,z,linear,0.545046329498291,0.4267156720161438,0.5455184108527131
4,C_scene,z,mlp,0.6697524785995483,0.6354401707649231,0.5517865794573643
4,D_latent,h,linear,0.6547685861587524,0.4668123126029968,1.0
4,D_latent,h,mlp,0.8303545117378235,0.6029698848724365,1.0
4,D_latent,z,linear,0.5632973313331604,0.3658360242843628,1.0
4,D_latent,z,mlp,0.8589605689048767,0.6165646910667419,1.0
4,ceiling,frame,linear,0.0037783384323120117,-0.010435819625854492,1.0
4,ceiling,frame,mlp,0.0037783384323120117,-0.010435819625854492,1.0
4,init,h,linear,0.0,0.0,1.0
4,init,h,mlp,0.0,0.0,1.0
4,init,z,linear,0.0,0.0,0.998703972868217
4,init,z,mlp,0.0,0.0,0.9988311531007752
