seed,arm,space,probe,target,group,metric,score,score_clipped
0,B_task,h,linear,agent_position,relevant,r2,0.042930424213409424,0.042930424213409424
0,B_task,h,linear,agent_velocity,relevant,r2,0.6276916265487671,0.6276916265487671
0,B_task,h,linear,active_goal,relevant,r2,-0.3608381748199463,0.0
0,B_task,h,linear,agent_to_active_goal,relevant,r2,-0.16149413585662842,0.0
0,B_task,h,linear,inactive_goal,goal-like irrelevant,r2,-0.5570602416992188,0.0
0,B_task,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.21903491020202637,0.0
0,B_task,h,linear,ring_position,identity,r2,-0.4452962875366211,0.0
0,B_task,h,linear,plus_position,identity,r2,-0.2612011432647705,0.0
0,B_task,h,linear,distractor_positions,irrelevant,r2,-0.3140449523925781,0.0
0,B_task,h,linear,distractor_heatmap,irrelevant,r2,-0.23139894008636475,0.0
0,B_task,h,linear,distractor_hues,irrelevant,r2,-0.30004048347473145,0.0
0,B_task,h,linear,background_sat_val,irrelevant,r2,-0.3511161804199219,0.0
0,B_task,h,linear,background_hue_within_band,irrelevant,r2,-7417.15966796875,0.0
0,B_task,h,linear,selector_bit,relevant,balanced_acc,0.853421753875969,0.853421753875969
0,B_task,h,mlp,agent_position,relevant,r2,-0.15302860736846924,0.0
0,B_task,h,mlp,agent_velocity,relevant,r2,0.47868555784225464,0.47868555784225464
0,B_task,h,mlp,active_goal,relevant,r2,-0.6780819892883301,0.0
0,B_task,h,mlp,agent_to_active_goal,relevant,r2,-0.4593549966812134,0.0
0,B_task,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.9438716173171997,0.0
0,B_task,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.5773746967315674,0.0
0,B_task,h,mlp,ring_position,identity,r2,-0.8666564226150513,0.0
0,B_task,h,mlp,plus_position,identity,r2,-0.6904973983764648,0.0
0,B_task,h,mlp,distractor_positions,irrelevant,r2,-0.7701358795166016,0.0
0,B_task,h,mlp,distractor_heatmap,irrelevant,r2,-0.31147003173828125,0.0
0,B_task,h,mlp,distractor_hues,irrelevant,r2,-0.6166250705718994,0.0
0,B_task,h,mlp,background_sat_val,irrelevant,r2,-0.6218351125717163,0.0
0,B_task,h,mlp,background_hue_within_band,irrelevant,r2,-0.1594172716140747,0.0
0,B_task,h,mlp,selector_bit,relevant,balanced_acc,0.8768653100775194,0.8768653100775194
0,C_scene,z,linear,agent_position,relevant,r2,0.014568626880645752,0.014568626880645752
0,C_scene,z,linear,agent_velocity,relevant,r2,-0.05405986309051514,0.0
0,C_scene,z,linear,active_goal,relevant,r2,0.157515287399292,0.157515287399292
0,C_scene,z,linear,agent_to_active_goal,relevant,r2,0.14901858568191528,0.14901858568191528
0,C_scene,z,linear,inactive_goal,goal-like irrelevant,r2,0.001235663890838623,0.001235663890838623
0,C_scene,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.01868128776550293,0.0
0,C_scene,z,linear,ring_position,identity,r2,-0.03447771072387695,0.0
0,C_scene,z,linear,plus_position,identity,r2,-0.046204447746276855,0.0
0,C_scene,z,linear,distractor_positions,irrelevant,r2,0.38612061738967896,0.38612061738967896
0,C_scene,z,linear,distractor_heatmap,irrelevant,r2,0.814734935760498,0.814734935760498
0,C_scene,z,linear,distractor_hues,irrelevant,r2,-0.05930602550506592,0.0
0,C_scene,z,linear,background_sat_val,irrelevant,r2,0.06459343433380127,0.06459343433380127
0,C_scene,z,linear,background_hue_within_band,irrelevant,r2,-4959.33251953125,0.0
0,C_scene,z,linear,selector_bit,relevant,balanced_acc,0.5736615794573643,0.5736615794573643
0,C_scene,z,mlp,agent_position,relevant,r2,-0.16169047355651855,0.0
0,C_scene,z,mlp,agent_velocity,relevant,r2,-0.19081974029541016,0.0
0,C_scene,z,mlp,active_goal,relevant,r2,0.005565226078033447,0.005565226078033447
0,C_scene,z,mlp,agent_to_active_goal,relevant,r2,-0.03880596160888672,0.0
0,C_scene,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.3022364377975464,0.0
0,C_scene,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.265122652053833,0.0
0,C_scene,z,mlp,ring_position,identity,r2,-0.2923077344894409,0.0
0,C_scene,z,mlp,plus_position,identity,r2,-0.24541640281677246,0.0
0,C_scene,z,mlp,distractor_positions,irrelevant,r2,0.30540692806243896,0.30540692806243896
0,C_scene,z,mlp,distractor_heatmap,irrelevant,r2,0.7951362133026123,0.7951362133026123
0,C_scene,z,mlp,distractor_hues,irrelevant,r2,-0.1644991636276245,0.0
0,C_scene,z,mlp,background_sat_val,irrelevant,r2,-0.06548798084259033,0.0
0,C_scene,z,mlp,background_hue_within_band,irrelevant,r2,-0.40956902503967285,0.0
0,C_scene,z,mlp,selector_bit,relevant,balanced_acc,0.578015988372093,0.578015988372093
0,C_scene,h,linear,agent_position,relevant,r2,0.08381527662277222,0.08381527662277222
0,C_scene,h,linear,agent_velocity,relevant,r2,0.6451824307441711,0.6451824307441711
0,C_scene,h,linear,active_goal,relevant,r2,0.09814631938934326,0.09814631938934326
0,C_scene,h,linear,agent_to_active_goal,relevant,r2,0.12641525268554688,0.12641525268554688
0,C_scene,h,linear,inactive_goal,goal-like irrelevant,r2,-0.4495093822479248,0.0
0,C_scene,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.19348883628845215,0.0
0,C_scene,h,linear,ring_position,identity,r2,-0.49497413635253906,0.0
0,C_scene,h,linear,plus_position,identity,r2,-0.5129607915878296,0.0
0,C_scene,h,linear,distractor_positions,irrelevant,r2,-0.004181504249572754,0.0
0,C_scene,h,linear,distractor_heatmap,irrelevant,r2,0.34450268745422363,0.34450268745422363
0,C_scene,h,linear,distractor_hues,irrelevant,r2,-0.44639813899993896,0.0
0,C_scene,h,linear,background_sat_val,irrelevant,r2,-0.238128662109375,0.0
0,C_scene,h,linear,background_hue_within_band,irrelevant,r2,-6868.69921875,0.0
0,C_scene,h,linear,selector_bit,relevant,balanced_acc,0.5361070736434108,0.5361070736434108
0,C_scene,h,mlp,agent_position,relevant,r2,-0.2851923704147339,0.0
0,C_scene,h,mlp,agent_velocity,relevant,r2,0.5228389501571655,0.5228389501571655
0,C_scene,h,mlp,active_goal,relevant,r2,-0.1799987554550171,0.0
0,C_scene,h,mlp,agent_to_active_goal,relevant,r2,-0.15215682983398438,0.0
0,C_scene,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.8840283155441284,0.0
0,C_scene,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.5081465244293213,0.0
0,C_scene,h,mlp,ring_position,identity,r2,-0.7407445907592773,0.0
0,C_scene,h,mlp,plus_position,identity,r2,-0.7261924743652344,0.0
0,C_scene,h,mlp,distractor_positions,irrelevant,r2,-0.3364032506942749,0.0
0,C_scene,h,mlp,distractor_heatmap,irrelevant,r2,0.22947674989700317,0.22947674989700317
0,C_scene,h,mlp,distractor_hues,irrelevant,r2,-0.7420952320098877,0.0
0,C_scene,h,mlp,background_sat_val,irrelevant,r2,-0.6024662256240845,0.0
0,C_scene,h,mlp,background_hue_within_band,irrelevant,r2,-1.0708556175231934,0.0
0,C_scene,h,mlp,selector_bit,relevant,balanced_acc,0.545766715116279,0.545766715116279
0,D_latent,z,linear,agent_position,relevant,r2,0.7085000276565552,0.7085000276565552
0,D_latent,z,linear,agent_velocity,relevant,r2,-0.03573203086853027,0.0
0,D_latent,z,linear,active_goal,relevant,r2,0.7883942723274231,0.7883942723274231
0,D_latent,z,linear,agent_to_active_goal,relevant,r2,0.7687374353408813,0.7687374353408813
0,D_latent,z,linear,inactive_goal,goal-like irrelevant,r2,0.2649531960487366,0.2649531960487366
0,D_latent,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.45855259895324707,0.45855259895324707
0,D_latent,z,linear,ring_position,identity,r2,0.10446822643280029,0.10446822643280029
0,D_latent,z,linear,plus_position,identity,r2,0.5900259017944336,0.5900259017944336
0,D_latent,z,linear,distractor_positions,irrelevant,r2,-0.08386623859405518,0.0
0,D_latent,z,linear,distractor_heatmap,irrelevant,r2,-0.04970073699951172,0.0
0,D_latent,z,linear,distractor_hues,irrelevant,r2,-0.19276797771453857,0.0
0,D_latent,z,linear,background_sat_val,irrelevant,r2,0.2591252326965332,0.2591252326965332
0,D_latent,z,linear,background_hue_within_band,irrelevant,r2,-8065.2490234375,0.0
0,D_latent,z,linear,selector_bit,relevant,balanced_acc,1.0,1.0
0,D_latent,z,mlp,agent_position,relevant,r2,0.6538752317428589,0.6538752317428589
0,D_latent,z,mlp,agent_velocity,relevant,r2,-0.906959056854248,0.0
0,D_latent,z,mlp,active_goal,relevant,r2,0.8387191295623779,0.8387191295623779
0,D_latent,z,mlp,agent_to_active_goal,relevant,r2,0.7728513479232788,0.7728513479232788
0,D_latent,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.04739785194396973,0.0
