seed,model,subset,horizon,n,err_px,median_px
1,A_recon,all,2,1500,0.7776406407356262,0.7143580913543701
1,A_recon,all,3,1500,0.8563482165336609,0.7831765413284302
1,A_recon,all,4,1500,0.935293436050415,0.8746092915534973
1,A_recon,all,5,1500,1.0365684032440186,0.9581047892570496
1,A_recon,all,6,1500,1.1411408185958862,1.05059814453125
1,A_recon,all,7,1500,1.249121069908142,1.173055648803711
1,A_recon,all,8,1500,1.3665813207626343,1.2976922988891602
1,A_recon,all,9,1500,1.4737935066223145,1.4055907726287842
1,A_recon,all,10,1500,1.578808069229126,1.5007673501968384
1,A_recon,all,11,1500,1.6972264051437378,1.5941855907440186
1,A_recon,all,12,1500,1.797600269317627,1.6884052753448486
1,A_recon,all,13,1500,1.8986592292785645,1.7906913757324219
1,A_recon,all,14,1500,1.9993330240249634,1.9131863117218018
1,A_recon,all,15,1500,2.1080996990203857,2.0028014183044434
1,A_recon,all,16,1500,2.2174222469329834,2.1031007766723633
1,A_recon,all,17,1500,2.3249166011810303,2.2032470703125
1,A_recon,all,18,1500,2.4204516410827637,2.3137898445129395
1,A_recon,all,19,1500,2.5069539546966553,2.3981242179870605
1,A_recon,all,20,1500,2.6086437702178955,2.4494948387145996
1,A_recon,all,21,1500,2.714630126953125,2.5697884559631348
1,A_recon,all,22,1500,2.8189330101013184,2.670605182647705
1,A_recon,all,23,1500,2.9433541297912598,2.8102755546569824
1,A_recon,all,24,1500,3.0541465282440186,2.883612632751465
1,A_recon,all,25,1500,3.1587772369384766,2.973729133605957
1,A_recon,no_bounce,1,220,0.7105538249015808,0.6296693682670593
1,A_recon,no_bounce,2,220,0.7494041919708252,0.6921456456184387
1,A_recon,no_bounce,3,220,0.7954519391059875,0.7413825988769531
1,A_recon,no_bounce,4,220,0.8486458659172058,0.8168470859527588
1,A_recon,no_bounce,5,220,0.9527990221977234,0.9306923151016235
1,A_recon,no_bounce,6,220,1.0534511804580688,0.9998798966407776
1,A_recon,no_bounce,7,220,1.1754086017608643,1.1096007823944092
1,A_recon,no_bounce,8,220,1.2794173955917358,1.2260215282440186
1,A_recon,no_bounce,9,220,1.3899104595184326,1.3780128955841064
1,A_recon,no_bounce,10,220,1.5041276216506958,1.4621593952178955
1,A_recon,no_bounce,11,220,1.6238170862197876,1.5651676654815674
1,A_recon,no_bounce,12,220,1.7020443677902222,1.6580333709716797
1,A_recon,no_bounce,13,220,1.8353102207183838,1.8177064657211304
1,A_recon,no_bounce,14,220,1.9508353471755981,1.9825798273086548
1,A_recon,no_bounce,15,220,2.0458412170410156,2.0242109298706055
1,A_recon,no_bounce,16,220,2.1456923484802246,2.1744191646575928
1,A_recon,no_bounce,17,220,2.233999252319336,2.1965980529785156
1,A_recon,no_bounce,18,220,2.3259665966033936,2.2827534675598145
1,A_recon,no_bounce,19,220,2.402888536453247,2.3674206733703613
1,A_recon,no_bounce,20,220,2.501600503921509,2.451139211654663
1,A_recon,no_bounce,21,220,2.601018190383911,2.5873594284057617
1,A_recon,no_bounce,22,220,2.7134735584259033,2.705962657928467
1,A_recon,no_bounce,23,220,2.842473030090332,2.8360323905944824
1,A_recon,no_bounce,24,220,2.968738079071045,2.887820243835449
1,A_recon,no_bounce,25,220,3.1276512145996094,3.098695755004883
1,A_recon,bounce,1,1280,0.7355459928512573,0.6610245704650879
