arm,seed,dim,mse_increase
D_latent,0,31,4750.2509765625
D_latent,1,0,11539.7841796875
D_latent,1,1,490.7757568359375
D_latent,1,2,4284.30712890625
D_latent,1,3,140.29347229003906
D_latent,1,4,1050.920654296875
D_latent,1,5,3430.615478515625
D_latent,1,6,9245.234375
D_latent,1,7,10986.0712890625
D_latent,1,8,365.6915283203125
D_latent,1,9,33.0322380065918
D_latent,1,10,40.71298599243164
D_latent,1,11,12985.3740234375
D_latent,1,12,4703.65771484375
D_latent,1,13,176.85580444335938
D_latent,1,14,84.23429107666016
D_latent,1,15,1169.3624267578125
D_latent,1,16,33.119346618652344
D_latent,1,17,6956.11328125
D_latent,1,18,11258.7158203125
D_latent,1,19,13567.001953125
D_latent,1,20,65546.5546875
D_latent,1,21,1997.328369140625
D_latent,1,22,19161.6015625
D_latent,1,23,3775.585205078125
D_latent,1,24,7994.03955078125
D_latent,1,25,4936.64306640625
D_latent,1,26,324.50982666015625
D_latent,1,27,1681.9541015625
D_latent,1,28,2882.9775390625
D_latent,1,29,9143.8544921875
D_latent,1,30,36262.21484375
D_latent,1,31,2800.80517578125
D_latent,2,0,106.06541442871094
D_latent,2,1,42212.1953125
D_latent,2,2,0.582603394985199
D_latent,2,3,2278.077392578125
D_latent,2,4,1729.6439208984375
D_latent,2,5,38.66915512084961
D_latent,2,6,3129.699462890625
D_latent,2,7,93.05569458007812
D_latent,2,8,10111.7666015625
D_latent,2,9,3577.327392578125
D_latent,2,10,34970.58984375
D_latent,2,11,1666.069580078125
D_latent,2,12,41467.40234375
D_latent,2,13,7.399311065673828
D_latent,2,14,11613.140625
D_latent,2,15,602.5464477539062
D_latent,2,16,188.35440063476562
D_latent,2,17,4844.0986328125
D_latent,2,18,7692.60595703125
D_latent,2,19,3942.38134765625
D_latent,2,20,84563.203125
D_latent,2,21,7660.271484375
D_latent,2,22,17690.529296875
D_latent,2,23,261.11688232421875
D_latent,2,24,2164.4560546875
D_latent,2,25,3136.3701171875
D_latent,2,26,13.62083911895752
D_latent,2,27,1613.5904541015625
D_latent,2,28,10037.4853515625
D_latent,2,29,3120.610107421875
D_latent,2,30,38.689170837402344
D_latent,2,31,11335.310546875
D_latent,3,0,4809.970703125
D_latent,3,1,903.1941528320312
D_latent,3,2,1499.322509765625
D_latent,3,3,2269.118896484375
D_latent,3,4,4864.49267578125
D_latent,3,5,6725.73779296875
D_latent,3,6,5752.55029296875
D_latent,3,7,2548.572509765625
D_latent,3,8,6991.03369140625
D_latent,3,9,246.91162109375
D_latent,3,10,13919.6923828125
D_latent,3,11,3763.270263671875
D_latent,3,12,451.09930419921875
D_latent,3,13,17.017318725585938
D_latent,3,14,42097.55859375
D_latent,3,15,1587.189208984375
D_latent,3,16,1815.0364990234375
D_latent,3,17,6451.20703125
D_latent,3,18,163.1780548095703
D_latent,3,19,5623.86669921875
D_latent,3,20,3163.810546875
D_latent,3,21,1738.2021484375
D_latent,3,22,220.3505401611328
D_latent,3,23,1150.8629150390625
D_latent,3,24,8091.09619140625
D_latent,3,25,29007.0703125
