seed,vs,horizon,delta_px,b_worse_frac
1,C_scene,12,-0.2743713855743408,0.412
1,C_scene,13,-0.28223371505737305,0.41733333333333333
1,C_scene,14,-0.29752084612846375,0.4186666666666667
1,C_scene,15,-0.31263038516044617,0.4166666666666667
1,C_scene,16,-0.33758431673049927,0.41333333333333333
1,C_scene,17,-0.3496679961681366,0.4
1,C_scene,18,-0.3593006134033203,0.4033333333333333
1,C_scene,19,-0.36977094411849976,0.408
1,C_scene,20,-0.3880141079425812,0.4013333333333333
1,C_scene,21,-0.40025565028190613,0.4
1,C_scene,22,-0.4083806574344635,0.4026666666666667
1,C_scene,23,-0.4235530495643616,0.4013333333333333
1,C_scene,24,-0.43942007422447205,0.39866666666666667
1,C_scene,25,-0.4514729678630829,0.396
1,D_latent,1,-16.151779174804688,0.002
1,D_latent,2,-16.54327392578125,0.0026666666666666666
1,D_latent,3,-16.848730087280273,0.0013333333333333333
1,D_latent,4,-17.077245712280273,0.0006666666666666666
1,D_latent,5,-17.230274200439453,0.0013333333333333333
1,D_latent,6,-17.33069610595703,0.0026666666666666666
1,D_latent,7,-17.395126342773438,0.0026666666666666666
1,D_latent,8,-17.417675018310547,0.0026666666666666666
1,D_latent,9,-17.394866943359375,0.002
1,D_latent,10,-17.295082092285156,0.0033333333333333335
1,D_latent,11,-17.135366439819336,0.0033333333333333335
1,D_latent,12,-16.94338035583496,0.004
1,D_latent,13,-16.714750289916992,0.0033333333333333335
1,D_latent,14,-16.490678787231445,0.005333333333333333
1,D_latent,15,-16.275293350219727,0.004666666666666667
1,D_latent,16,-16.078231811523438,0.006666666666666667
1,D_latent,17,-15.90919017791748,0.008
1,D_latent,18,-15.752700805664062,0.01
1,D_latent,19,-15.61159896850586,0.010666666666666666
1,D_latent,20,-15.499653816223145,0.011333333333333334
1,D_latent,21,-15.40080451965332,0.010666666666666666
1,D_latent,22,-15.330846786499023,0.011333333333333334
1,D_latent,23,-15.263005256652832,0.012666666666666666
1,D_latent,24,-15.216765403747559,0.015333333333333332
1,D_latent,25,-15.182053565979004,0.016666666666666666
2,A_recon,1,0.19559511542320251,0.596
2,A_recon,2,0.13692258298397064,0.5613333333333334
2,A_recon,3,0.0803360790014267,0.546
2,A_recon,4,0.04443635046482086,0.524
2,A_recon,5,0.01653403230011463,0.5113333333333333
2,A_recon,6,0.00038008944829925895,0.49333333333333335
2,A_recon,7,-0.009282561019062996,0.49066666666666664
2,A_recon,8,-0.010440777987241745,0.4846666666666667
2,A_recon,9,-0.004786566831171513,0.4846666666666667
2,A_recon,10,-0.011057496070861816,0.4866666666666667
2,A_recon,11,-0.027059394866228104,0.482
2,A_recon,12,-0.03246128186583519,0.478
2,A_recon,13,-0.03175453841686249,0.484
2,A_recon,14,-0.025310160592198372,0.4866666666666667
2,A_recon,15,-0.013716635294258595,0.5006666666666667
2,A_recon,16,-0.012001645751297474,0.502
2,A_recon,17,-0.02175905369222164,0.5
2,A_recon,18,-0.02182100899517536,0.49733333333333335
2,A_recon,19,-0.02156798727810383,0.49266666666666664
2,A_recon,20,-0.013620739802718163,0.48933333333333334
2,A_recon,21,-0.004331475589424372,0.498
2,A_recon,22,0.0024242603685706854,0.496
2,A_recon,23,0.021098684519529343,0.49533333333333335
2,A_recon,24,0.04052674025297165,0.49933333333333335
2,A_recon,25,0.06602737307548523,0.5106666666666667
2,C_scene,1,-0.14663416147232056,0.3873333333333333
2,C_scene,2,-0.17610596120357513,0.38666666666666666
2,C_scene,3,-0.2113507241010666,0.36866666666666664
2,C_scene,4,-0.2344077080488205,0.376
2,C_scene,5,-0.254939466714859,0.37466666666666665
2,C_scene,6,-0.26308614015579224,0.38466666666666666
2,C_scene,7,-0.27500373125076294,0.39466666666666667
2,C_scene,8,-0.27440619468688965,0.4013333333333333
2,C_scene,9,-0.27004072070121765,0.4073333333333333
2,C_scene,10,-0.2872184216976166,0.4033333333333333
2,C_scene,11,-0.3062713146209717,0.4026666666666667
2,C_scene,12,-0.3155551254749298,0.406
2,C_scene,13,-0.32452651858329773,0.4033333333333333
2,C_scene,14,-0.3254869282245636,0.4093333333333333
2,C_scene,15,-0.3192789852619171,0.41933333333333334
2,C_scene,16,-0.3134787678718567,0.422
2,C_scene,17,-0.3091041147708893,0.422
2,C_scene,18,-0.30475878715515137,0.43133333333333335
2,C_scene,19,-0.29523685574531555,0.434
2,C_scene,20,-0.28905239701271057,0.44666666666666666
2,C_scene,21,-0.28647539019584656,0.4513333333333333
2,C_scene,22,-0.2865692675113678,0.4493333333333333
2,C_scene,23,-0.27865827083587646,0.4493333333333333
2,C_scene,24,-0.26980724930763245,0.454
2,C_scene,25,-0.25984832644462585,0.4553333333333333
2,D_latent,1,-15.738580703735352,0.0026666666666666666
2,D_latent,2,-16.25193977355957,0.002
2,D_latent,3,-16.678653717041016,0.002
2,D_latent,4,-17.025442123413086,0.0013333333333333333
2,D_latent,5,-17.266218185424805,0.0013333333333333333
2,D_latent,6,-17.42259979248047,0.002
2,D_latent,7,-17.527851104736328,0.0006666666666666666
2,D_latent,8,-17.561140060424805,0.0006666666666666666
2,D_latent,9,-17.52663230895996,0.0013333333333333333
2,D_latent,10,-17.46543312072754,0.0033333333333333335
2,D_latent,11,-17.386064529418945,0.004
2,D_latent,12,-17.27961540222168,0.004666666666666667
2,D_latent,13,-17.147445678710938,0.007333333333333333
2,D_latent,14,-16.974796295166016,0.006
2,D_latent,15,-16.784412384033203,0.008
2,D_latent,16,-16.584840774536133,0.01
2,D_latent,17,-16.389673233032227,0.012
2,D_latent,18,-16.189191818237305,0.01
2,D_latent,19,-16.01065444946289,0.007333333333333333
2,D_latent,20,-15.836468696594238,0.008666666666666666
2,D_latent,21,-15.674818992614746,0.009333333333333334
2,D_latent,22,-15.524200439453125,0.011333333333333334
2,D_latent,23,-15.375028610229492,0.012
2,D_latent,24,-15.225586891174316,0.015333333333333332
2,D_latent,25,-15.075017929077148,0.020666666666666667
3,A_recon,1,0.09023064374923706,0.5793333333333334
3,A_recon,2,0.03425560146570206,0.5406666666666666
3,A_recon,3,0.02251208946108818,0.5146666666666667
3,A_recon,4,0.01738082617521286,0.5213333333333333
3,A_recon,5,0.010306215845048428,0.5286666666666666
3,A_recon,6,-0.01092602126300335,0.5013333333333333
3,A_recon,7,-0.026024851948022842,0.49066666666666664
3,A_recon,8,-0.038269639015197754,0.48333333333333334
3,A_recon,9,-0.03419101983308792,0.476
3,A_recon,10,-0.038038305938243866,0.48
3,A_recon,11,-0.039571940898895264,0.4826666666666667
3,A_recon,12,-0.050655823200941086,0.47933333333333333
3,A_recon,13,-0.057707615196704865,0.4746666666666667
3,A_recon,14,-0.05552641302347183,0.4766666666666667
3,A_recon,15,-0.06599999219179153,0.47533333333333333
3,A_recon,16,-0.06386125832796097,0.478
3,A_recon,17,-0.06860488653182983,0.4726666666666667
3,A_recon,18,-0.07164362818002701,0.476
3,A_recon,19,-0.0716560035943985,0.488
3,A_recon,20,-0.06419626623392105,0.4866666666666667
3,A_recon,21,-0.05464474856853485,0.49866666666666665
3,A_recon,22,-0.047337088733911514,0.506
3,A_recon,23,-0.03943057730793953,0.504
3,A_recon,24,-0.051414359360933304,0.49266666666666664
3,A_recon,25,-0.04707379266619682,0.49
3,C_scene,1,-0.10228589177131653,0.468
3,C_scene,2,-0.14573770761489868,0.432
