seed,model,horizon,mse,r2,pred_spread_ratio
1,D_latent,5,0.06651221215724945,0.9327781200408936,0.944667637348175
1,D_latent,6,0.07213708013296127,0.9282865524291992,0.9450622797012329
1,D_latent,7,0.07782568037509918,0.923870325088501,0.9453913569450378
1,D_latent,8,0.08321600407361984,0.9198451042175293,0.9457249045372009
1,D_latent,9,0.08833993971347809,0.9161919355392456,0.9456962943077087
1,D_latent,10,0.09323281794786453,0.912815511226654,0.9453296661376953
1,D_latent,11,0.09778368473052979,0.9098002314567566,0.9444760680198669
1,D_latent,12,0.1021941602230072,0.9069913625717163,0.94289231300354
1,D_latent,13,0.10642349720001221,0.9043614864349365,0.9408606886863708
1,D_latent,14,0.11039059609174728,0.9019602537155151,0.9385204315185547
1,D_latent,15,0.11440073698759079,0.8995426297187805,0.9357152581214905
1,chance,0,0.9143096208572388,-0.0012447834014892578,0.0
1,chance,1,0.9283882975578308,-0.0007230043411254883,0.0
1,chance,2,0.9427477121353149,-0.0003437995910644531,0.0
1,chance,3,0.9580152630805969,-0.00010478496551513672,0.0
1,chance,4,0.9735726714134216,-7.033348083496094e-06,0.0
1,chance,5,0.9894738793373108,-3.1113624572753906e-05,0.0
1,chance,6,1.0060737133026123,-0.00016558170318603516,0.0
1,chance,7,1.0226868391036987,-0.0004000663757324219,0.0
1,chance,8,1.0389240980148315,-0.0007070302963256836,0.0
1,chance,9,1.0551996231079102,-0.0010671615600585938,0.0
1,chance,10,1.070937991142273,-0.0014623403549194336,0.0
1,chance,11,1.0861002206802368,-0.001864314079284668,0.0
1,chance,12,1.1012526750564575,-0.0022689104080200195,0.0
1,chance,13,1.1157212257385254,-0.002653956413269043,0.0
1,chance,14,1.1293559074401855,-0.0030001401901245117,0.0
1,chance,15,1.1425719261169434,-0.0033131837844848633,0.0
1,hold_current,0,0.0,1.0,1.0
1,hold_current,1,0.006852252408862114,0.9926138520240784,0.9921301007270813
1,hold_current,2,0.026858890429139137,0.9715002179145813,0.9843587279319763
1,hold_current,3,0.05825820192694664,0.9391822814941406,0.9763668775558472
1,hold_current,4,0.09866201877593994,0.8986591100692749,0.9684870839118958
1,hold_current,5,0.1461893767118454,0.852250874042511,0.960685133934021
1,hold_current,6,0.1995726376771927,0.801599383354187,0.9527907967567444
1,hold_current,7,0.25733354687690735,0.7482743263244629,0.9451310634613037
1,hold_current,8,0.31841492652893066,0.6932981014251709,0.9378601312637329
1,hold_current,9,0.3826238811016083,0.6370049715042114,0.9307666420936584
1,hold_current,10,0.44920361042022705,0.5799378752708435,0.9240844249725342
1,hold_current,11,0.5174440145492554,0.5226879715919495,0.9177956581115723
1,hold_current,12,0.5872050523757935,0.46557462215423584,0.9116436839103699
1,hold_current,13,0.6575261950492859,0.4091075658798218,0.9058873057365417
1,hold_current,14,0.7273659110069275,0.35401397943496704,0.900557816028595
1,hold_current,15,0.7964903116226196,0.30058735609054565,0.8954740166664124
1,colourblind_true,0,0.550209105014801,0.3974754214286804,0.6319395899772644
1,colourblind_true,1,0.5592828392982483,0.3971410393714905,0.6315760016441345
1,colourblind_true,2,0.5685380697250366,0.3967278003692627,0.6312150359153748
1,colourblind_true,3,0.5778653621673584,0.3967466354370117,0.6307346224784851
1,colourblind_true,4,0.5872754454612732,0.3967788815498352,0.6302407383918762
1,colourblind_true,5,0.5969003438949585,0.39673101902008057,0.6297940015792847
1,colourblind_true,6,0.6066685318946838,0.39689409732818604,0.6293929815292358
1,colourblind_true,7,0.6163985729217529,0.3970341682434082,0.6290990710258484
1,colourblind_true,8,0.6259725093841553,0.3970540761947632,0.628979504108429
1,colourblind_true,9,0.6353940963745117,0.3972020745277405,0.6290194392204285
1,colourblind_true,10,0.6446918249130249,0.39713168144226074,0.6292771100997925
1,colourblind_true,11,0.6539056897163391,0.39680999517440796,0.6298202872276306
1,colourblind_true,12,0.662960410118103,0.39662837982177734,0.6305856704711914
1,colourblind_true,13,0.6716930866241455,0.396376371383667,0.6315470933914185
1,colourblind_true,14,0.6800141930580139,0.3960677981376648,0.6326826214790344
1,colourblind_true,15,0.6877434253692627,0.396079957485199,0.6338530778884888
2,A_recon,0,0.31060317158699036,0.6582933664321899,0.7735102772712708
2,A_recon,1,0.31242507696151733,0.6616784334182739,0.7943440079689026
2,A_recon,2,0.3148249089717865,0.6643984317779541,0.8019824624061584
2,A_recon,3,0.3183138966560364,0.6661666631698608,0.8066429495811462
2,A_recon,4,0.32209068536758423,0.6676368713378906,0.8090371489524841
2,A_recon,5,0.32609111070632935,0.6689079403877258,0.8099350333213806
2,A_recon,6,0.33096104860305786,0.669463038444519,0.809558629989624
2,A_recon,7,0.3363984227180481,0.6694120764732361,0.808053195476532
2,A_recon,8,0.34164759516716003,0.6694008708000183,0.805972158908844
2,A_recon,9,0.3474330008029938,0.6688682436943054,0.8031195998191833
2,A_recon,10,0.3539659380912781,0.6674683094024658,0.7999669313430786
2,A_recon,11,0.3608611226081848,0.6655899882316589,0.7964696884155273
2,A_recon,12,0.3686494529247284,0.6629365682601929,0.7925136089324951
2,A_recon,13,0.37794721126556396,0.6587855219841003,0.7883198261260986
2,A_recon,14,0.3876849412918091,0.6541004180908203,0.7839200496673584
2,A_recon,15,0.39771172404289246,0.6491492986679077,0.7795058488845825
2,B_task,0,0.06687474250793457,0.926428496837616,0.9428346753120422
2,B_task,1,0.06583043187856674,0.9287129640579224,0.9392156600952148
2,B_task,2,0.06736686080694199,0.9281873106956482,0.9404312968254089
2,B_task,3,0.0701431855559349,0.9264369606971741,0.9409703016281128
2,B_task,4,0.07362937927246094,0.924022376537323,0.9416566491127014
2,B_task,5,0.07723352313041687,0.921582043170929,0.9425081610679626
2,B_task,6,0.08106923848390579,0.9190346598625183,0.9434120059013367
2,B_task,7,0.08523965626955032,0.9162326455116272,0.9442213773727417
2,B_task,8,0.08935263752937317,0.9135369062423706,0.944968044757843
2,B_task,9,0.09392119944095612,0.9104855060577393,0.9452164173126221
2,B_task,10,0.09893780946731567,0.9070533514022827,0.9450187087059021
2,B_task,11,0.10411117970943451,0.9035201668739319,0.9446772336959839
2,B_task,12,0.10979283601045609,0.8996142745018005,0.9434314370155334
2,B_task,13,0.11589418351650238,0.8953695893287659,0.9414889216423035
2,B_task,14,0.12206722795963287,0.8910893797874451,0.9394007921218872
2,B_task,15,0.1284772902727127,0.8866607546806335,0.9366307854652405
2,C_scene,0,0.041165098547935486,0.9547126889228821,0.988048791885376
2,C_scene,1,0.041271135210990906,0.9553079605102539,0.9787870645523071
2,C_scene,2,0.043909721076488495,0.9531924724578857,0.9747985005378723
2,C_scene,3,0.047728031873703,0.9499449729919434,0.9720126986503601
2,C_scene,4,0.05180307850241661,0.9465447664260864,0.9702338576316833
2,C_scene,5,0.05607443302869797,0.9430655837059021,0.9693747758865356
2,C_scene,6,0.060828011482954025,0.9392499327659607,0.9688107371330261
2,C_scene,7,0.06544238328933716,0.9356879591941833,0.9683617353439331
2,C_scene,8,0.0697285532951355,0.9325263500213623,0.9676958918571472
2,C_scene,9,0.07423767447471619,0.9292454719543457,0.9666256308555603
2,C_scene,10,0.07869493216276169,0.9260703921318054,0.965215802192688
2,C_scene,11,0.0830567330121994,0.9230313301086426,0.9631720185279846
2,C_scene,12,0.08806414157152176,0.9194812178611755,0.9602810144424438
2,C_scene,13,0.09336105734109879,0.9157127141952515,0.9569841027259827
2,C_scene,14,0.09858500212430954,0.912040650844574,0.9532500505447388
2,C_scene,15,0.10414283722639084,0.9081279635429382,0.9488402605056763
2,D_latent,0,0.05183915048837662,0.9429697394371033,0.9849289655685425
2,D_latent,1,0.049786023795604706,0.9460873007774353,0.9902327656745911
2,D_latent,2,0.05086807161569595,0.9457749128341675,0.9905019402503967
2,D_latent,3,0.053523436188697815,0.943867027759552,0.9912981986999512
2,D_latent,4,0.05667651817202568,0.9415159225463867,0.9928187131881714
2,D_latent,5,0.06021274998784065,0.9388638138771057,0.9947255253791809
2,D_latent,6,0.06410373747348785,0.9359784126281738,0.9960012435913086
2,D_latent,7,0.06792683154344559,0.9332464337348938,0.997043251991272
2,D_latent,8,0.07181163877248764,0.9305106401443481,0.9976587891578674
2,D_latent,9,0.07587924599647522,0.9276809692382812,0.9972265958786011
2,D_latent,10,0.0798642709851265,0.924971878528595,0.9963306784629822
2,D_latent,11,0.08399968594312668,0.9221574664115906,0.994723916053772
2,D_latent,12,0.08845201879739761,0.919126570224762,0.9920001029968262
2,D_latent,13,0.09288230538368225,0.9161449670791626,0.9887236952781677
2,D_latent,14,0.09740862995386124,0.9130902290344238,0.9847812056541443
2,D_latent,15,0.10210193693637848,0.9099283814430237,0.980000913143158
2,chance,0,0.9109171628952026,-0.0021355152130126953,0.0
2,chance,1,0.9247647523880005,-0.0014171600341796875,0.0
2,chance,2,0.9388965368270874,-0.0008584260940551758,0.0
2,chance,3,0.9539299011230469,-0.0004388093948364258,0.0
2,chance,4,0.9692522883415222,-0.0001646280288696289,0.0
2,chance,5,0.9849226474761963,-2.7418136596679688e-05,0.0
2,chance,6,1.0012894868850708,-6.556510925292969e-06,0.0
2,chance,7,1.017674207687378,-9.632110595703125e-05,0.0
2,chance,8,1.0336982011795044,-0.0002696514129638672,0.0
2,chance,9,1.0497640371322632,-0.0005099773406982422,0.0
2,chance,10,1.065303921699524,-0.0007948875427246094,0.0
2,chance,11,1.080287218093872,-0.0011022090911865234,0.0
2,chance,12,1.0952650308609009,-0.001422286033630371,0.0
2,chance,13,1.1095733642578125,-0.0017337799072265625,0.0
2,chance,14,1.1230708360671997,-0.002024412155151367,0.0
2,chance,15,1.1361559629440308,-0.002286672592163086,0.0
2,hold_current,0,0.0,1.0,1.0
2,hold_current,1,0.006820729002356529,0.9926139116287231,0.9921289086341858
2,hold_current,2,0.026735514402389526,0.9715000987052917,0.9843593835830688
2,hold_current,3,0.05799032747745514,0.9391823410987854,0.9763673543930054
2,hold_current,4,0.0982089564204216,0.8986588716506958,0.9684863686561584
