seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories
1,C_scene,10,0.9103583097457886,-0.9374514818191528
1,C_scene,11,0.9063266515731812,-1.1489570140838623
1,C_scene,12,0.9023047089576721,-1.368006706237793
1,C_scene,13,0.898301899433136,-1.5875723361968994
1,C_scene,14,0.894463837146759,-1.810802698135376
1,C_scene,15,0.890446126461029,-2.028677225112915
1,D_latent,0,0.9486199021339417,0.851481556892395
1,D_latent,1,0.9481203556060791,0.8178446292877197
1,D_latent,2,0.9453040361404419,0.7693451642990112
1,D_latent,3,0.9414530396461487,0.7078161239624023
1,D_latent,4,0.937166690826416,0.6355993747711182
1,D_latent,5,0.9327781200408936,0.5533249378204346
1,D_latent,6,0.9282865524291992,0.4618734121322632
1,D_latent,7,0.923870325088501,0.3619080185890198
1,D_latent,8,0.9198451042175293,0.2530516982078552
1,D_latent,9,0.9161919355392456,0.13550859689712524
1,D_latent,10,0.912815511226654,0.008995234966278076
1,D_latent,11,0.9098002314567566,-0.1262209415435791
1,D_latent,12,0.9069913625717163,-0.2685565948486328
1,D_latent,13,0.9043614864349365,-0.418323278427124
1,D_latent,14,0.9019602537155151,-0.5747404098510742
1,D_latent,15,0.8995426297187805,-0.7344309091567993
2,A_recon,0,0.6582933664321899,-6.098988056182861
2,A_recon,1,0.6616784334182739,-7.060510635375977
2,A_recon,2,0.6643984317779541,-7.950649261474609
2,A_recon,3,0.6661666631698608,-8.830934524536133
2,A_recon,4,0.6676368713378906,-9.670863151550293
2,A_recon,5,0.6689079403877258,-10.453908920288086
2,A_recon,6,0.669463038444519,-11.17889404296875
2,A_recon,7,0.6694120764732361,-11.832160949707031
2,A_recon,8,0.6694008708000183,-12.421384811401367
2,A_recon,9,0.6688682436943054,-12.940350532531738
2,A_recon,10,0.6674683094024658,-13.394851684570312
2,A_recon,11,0.6655899882316589,-13.788543701171875
2,A_recon,12,0.6629365682601929,-14.12308406829834
2,A_recon,13,0.6587855219841003,-14.403911590576172
2,A_recon,14,0.6541004180908203,-14.640425682067871
2,A_recon,15,0.6491492986679077,-14.835265159606934
